,USER_ID,TRANSACTED_CURRENCIES
0,0045d07aa8c56b25d078c2920219fed8,BTC
1,00532657bb098803ee5b13b76ac739ed,ETH
2,006bae3ccde38fe8d5299c4123925b03,"ETH, EUR"
3,0086e30f8d8e1518156df8915269be34,"BTC, ETH, USD"
4,008793c7766aa0e097dfe58427b89389,"BTC, ETH, LTC"
5,008c9db56b3ca8f4b7999c9d2d522d92,"BTC, LTC"
6,009ab16c525ade38cab0f73bdc6d6cef,USD
7,00a0ce5819d991818ef208b80dcf4bd1,BTC
8,00a9c60d8ada9ea6b7c8c6b69501aed3,BTC
9,015f3d430c65c962fb6bc8f7be2da503,BTC
10,016b9449d13f8cd1daadad398590c70b,"BTC, ETH"
11,017d8ca46b3cc4c8e8da5d5df0e5abe3,BTC
12,01e8a2e7a4e57736df09c7807de66083,"BTC, ETH"
13,01ead172d89dcf96b536dc76f9e835b2,BTC
14,01f99f82502b0579de53e98dd3c15c06,"BTC, ETH, EUR, LTC"
15,0202c202afcf3dfc67e4a08bf17a4ee4,BTC
16,024525371a4ff934f58fbffd35a129df,"BTC, ETH, USD"
17,02b3ac56fc650f992c3f68ceb3edfefc,BTC
18,02dfccf20904eaee49633aeb4d44adf0,"BTC, ETH, LTC, USD"
19,032b9eca586459dc2d5b1bbdeb228c8f,BTC
20,0404795663f0281a0b539a65ed02d603,BTC
21,040eaeb37b98d04b5b6db6e9388cc994,BTC
22,04ad74734d7bafe1823376610f59d5fc,LTC
23,0534cb3d8c58e07f1d54b102667bf3e8,"BTC, ETH"
24,0538a79f0588f57ab2df2c05996c4f62,BTC
25,05460fdf4361e1a43bb7b3f47acfffba,"BTC, ETH"
26,056cec273f01d7757ca925bfd38cf271,"BTC, ETH, LTC"
27,05a5739881947bb5c455d7eebbf70e5d,"BTC, ETH, LTC"
28,0630825f119801ca90274cb8968946b3,ETH
29,067c7285622245c385b261e28e16088a,BTC
30,068fd28d306c8793c7a419f85a09a1a6,BTC
31,06ddc401da2f5e3c6969c7a21273a341,"BTC, ETH, LTC, USD"
32,0786d4406e757ca28cc26954dc31ae48,"BTC, USD"
33,083743fdb35ded42d3b6cd68e2d3fa68,BTC
34,084a152155a2f03b4abbb84e62e56866,"ETH, LTC"
35,08a2564e8b0299daa763b823cce42755,BTC
36,08c1def55cf6880503336ba1f5234e37,BTC
37,097bd9dd47cde3bf62fede0ab072ef68,BTC
38,09a1bb3c43385b0674e47ccaf7278417,BTC
39,09c5e7c3356bf8336df6088be54481c8,BTC
40,0a23653e68cdc58d7081d1535bba423f,"BTC, ETH, LTC"
41,0abe6b278525b38cb4c1af6c50a3cded,BTC
42,0ae879c422d282d5dfe05194534b62f8,BTC
43,0b0c4105cc02f581c29c8930d06c6912,"BTC, ETH, LTC, USD"
44,0b1284959cf82719f2eee0b478909fdb,BTC
45,0b260cf54761db050c660a62173b1da5,"ETH, LTC"
46,0b4339a6d42b0218acc903c7b876997a,BTC
47,0b4e1a6e58b9d9e5cdc61c4b12a1c91e,BTC
48,0b72d3f7d42cd93aaea83d819bb72b65,BTC
49,0b819104b7757343e191bb2992db321e,BTC
50,0bad5fdedb0ddd1d2287039f6588c3c6,BTC
51,0bbef52284fd7c06a93c034090cc7ec9,"ETH, LTC, USD"
52,0bc6ff0fd6e0408352e7635812bdcc1b,"BTC, ETH"
53,0bce3a37e41aabdc48389916e8b2971e,BTC
54,0bf6b91763432a35e94e6f1e19c9dee2,"ETH, LTC"
55,0c5df2e47faf3b5dee8e041ce1c1f018,"BTC, ETH, LTC, USD"
56,0cab77d877c86d3650188f2930c72812,"BTC, ETH, EUR, LTC"
57,0e0c4e2fa70075d21e7f4faa6e1612a1,"BTC, ETH"
58,0e44fa228e3e1b7dea2c5f58ac744e8b,BTC
59,0e46a3133940a800eafa3d9db70f51fd,"BTC, ETH, USD"
60,0ec7082165693eafca643cb727ae2d74,BTC
61,0f36fd00238f57c52ca284770ddefaf5,BTC
62,0f391cd204bd31777ef8853d2112ffd8,BTC
63,0f676a57c0f9d1c6fc86b2f0d4ab01c4,"BTC, ETH, EUR, LTC"
64,0fc655d273ec129c9c8c29b6b1337fff,BTC
65,10022a67d99e53c2d78314b2eb83ec07,"ETH, LTC"
66,1017dec15693cd725c942d42484d982d,BTC
67,10949334381296f2224b899094a50815,BTC
68,11014f3021c0cd5abe7e0dcea8f9192f,"BTC, USD"
69,1120523aa0ee28b06caf37564a26dbc3,BTC
70,113351fb32a0599e94b64a4b22b2d36a,ETH
71,11907e460d5be5726e1b2eabfe7694c6,BTC
72,11c33ab06c3d4550fbed5a360f5fe4d5,BTC
73,11faec4ac2986d1aa1619bd0b7736d5a,BTC
