Start,End,Open,High,Low,Close,Volume,Market Cap
2017-12-21,2017-12-22,818.982566973,878.429639446,778.433927276,813.235885635,2967482231.3136015,80504172745.14398
2017-12-20,2017-12-21,819.810487128,845.192214501,742.130911973,818.409385648,3392805988.5295362,78601072341.09099
2017-12-19,2017-12-20,796.921109771,875.5386216,778.161929074,819.784187764,3373795508.254504,79292702705.99466
2017-12-18,2017-12-19,721.464860476,798.362861927,688.01054042,797.524690399,1943635717.0340912,70857607367.28743
2017-12-17,2017-12-18,694.004702504,730.628996645,693.828742622,722.696435563,1699781095.2185166,69405520891.54617
2017-12-16,2017-12-17,683.997346621,713.451175967,681.516813916,693.187242361,1627635765.6976867,67200313590.94203
2017-12-15,2017-12-16,695.237477616,696.413488385,635.196306066,683.219667708,2512050116.8834376,64810240751.69761
2017-12-14,2017-12-15,697.616808613,746.845674007,664.16596255,695.387653606,3448637143.41443,68372974142.477776
2017-12-13,2017-12-14,645.228339883,728.205572958,591.126470766,697.288376325,3881246869.603174,63702142462.28727
2017-12-12,2017-12-13,513.477310603,651.33434165,501.743127012,646.264455477,2560562898.116619,54684241197.12841
2017-12-11,2017-12-12,439.035244884,514.71335239,439.035244884,514.71335239,1010179126.4627203,45327626981.42327
2017-12-10,2017-12-11,474.12425371,474.12425371,425.852651456,439.462157475,1213610122.3814628,42799339116.97179
2017-12-09,2017-12-10,454.734389156,500.415826477,451.296043052,473.015526969,1609258306.3542993,45963724197.34187
2017-12-08,2017-12-09,432.676932586,465.315616514,424.163743913,454.713486408,1690967209.0390506,42909335631.58604
2017-12-07,2017-12-08,431.071534476,441.033378503,414.485779553,432.292293698,1609865405.807266,40843566904.4133
2017-12-06,2017-12-07,463.431500829,464.670470353,420.398632029,431.452252312,1225234738.8441005,43018032247.61686
2017-12-05,2017-12-06,470.672737722,472.807663248,458.80657831,464.669561083,812164216.8547913,44890969472.23657
2017-12-04,2017-12-05,466.927826296,475.148095891,452.634488808,469.857992705,769163454.8500764,44729961230.8868
2017-12-03,2017-12-04,465.176424967,482.8853853,453.236436811,466.483835134,605733711.804953,45251387321.24464
2017-12-02,2017-12-03,466.701872556,477.328304847,457.965813993,465.195692273,810598782.5580176,45013132611.87046
