Start,End,Open,High,Low,Close,Volume,Market Cap
2012-01-01,2012-01-02,5.2677,5.2677,5.2677,5.2677,0,42130197.624374926
2012-01-02,2012-01-03,5.2168,5.2168,5.2168,5.2168,0,41723107.80166642
2012-01-03,2012-01-04,4.8808,4.8808,4.8808,4.8808,0,39035835.10166672
2012-01-04,2012-01-05,5.5738,5.5738,5.5738,5.5738,0,44680307.32128346
2012-01-05,2012-01-06,6.9476,6.9476,6.9476,6.9476,0,55770266.84166679
2012-01-06,2012-01-07,6.6969,6.6969,6.6969,6.6969,0,53757830.043750264
2012-01-07,2012-01-08,6.81,6.81,6.81,6.81,0,54676031.34765624
2012-01-08,2012-01-09,7.1136,7.1136,7.1136,7.1136,0,57309710.639999785
2012-01-09,2012-01-10,6.3257,6.3257,6.3257,6.3257,0,50962105.90916645
2012-01-10,2012-01-11,6.36,6.36,6.36,6.36,0,51238439
2012-01-11,2012-01-12,6.9,6.9,6.9,6.9,0,55622672.51736111
2012-01-12,2012-01-13,6.8,6.8,6.8,6.8,0,54987350
2012-01-13,2012-01-14,6.41,6.41,6.41,6.41,0,51833663.75
2012-01-14,2012-01-15,6.75,6.75,6.75,6.75,0,54583031.25
2012-01-15,2012-01-16,7.0018,7.0018,7.0018,7.0018,0,56629510.56118078
2012-01-16,2012-01-17,6.6825,6.6825,6.6825,6.6825,0,54240014.8125
2012-01-17,2012-01-18,5.6,5.6,5.6,5.6,0,45453660
2012-01-18,2012-01-19,5.92,5.92,5.92,5.92,0,48051012
2012-01-19,2012-01-20,6.3598,6.3598,6.3598,6.3598,0,51637194.62042264
2012-01-20,2012-01-21,6.4898,6.4898,6.4898,6.4898,0,52869263.86333316
2012-01-21,2012-01-22,6.18,6.18,6.18,6.18,0,50345473
2012-01-22,2012-01-23,6.3097,6.3097,6.3097,6.3097,0,51402076.21166653
2012-01-23,2012-01-24,6.356,6.356,6.356,6.356,0,51844982.46302062
2012-01-24,2012-01-25,6.2898,6.2898,6.2898,6.2898,0,51421814.37249988
2012-01-25,2012-01-26,5.75,5.75,5.75,5.75,0,47008717.708333485
2012-01-26,2012-01-27,5.34,5.34,5.34,5.34,0,43656791.75
2012-01-27,2012-01-28,5.292,5.292,5.292,5.292,0,43284114.16874973
2012-01-28,2012-01-29,5.6267,5.6267,5.6267,5.6267,0,46168620.84250018
2012-01-29,2012-01-30,5.3809,5.3809,5.3809,5.3809,0,44151764.24749995
2012-01-30,2012-01-31,5.4905,5.4905,5.4905,5.4905,0,45051062.38750017
2012-01-31,2012-02-01,5.4838,5.4838,5.4838,5.4838,0,45070936.07541961
2012-02-01,2012-02-02,6.0756,6.0756,6.0756,6.0756,0,50030199.04750016
2012-02-02,2012-02-03,6.1,6.1,6.1,6.1,0,50231123.541666485
2012-02-03,2012-02-04,5.9593,5.9593,5.9593,5.9593,0,49072513.8560415
2012-02-04,2012-02-05,5.8734,5.8734,5.8734,5.8734,0,48485583.96059911
2012-02-05,2012-02-06,5.6888,5.6888,5.6888,5.6888,0,47008118.81999982
2012-02-06,2012-02-07,5.4535,5.4535,5.4535,5.4535,0,45063770.21249977
2012-02-07,2012-02-08,5.69,5.69,5.69,5.69,0,47018034.75
2012-02-08,2012-02-09,5.6,5.6,5.6,5.6,0,46394147.75462949
2012-02-09,2012-02-10,5.83,5.83,5.83,5.83,0,48341971.3333335
2012-02-10,2012-02-11,5.9126,5.9126,5.9126,5.9126,0,49026885.02666665
2012-02-11,2012-02-12,5.6005,5.6005,5.6005,5.6005,0,46438972.633333236
2012-02-12,2012-02-13,5.5147,5.5147,5.5147,5.5147,0,45860015.10169579
2012-02-13,2012-02-14,5.26,5.26,5.26,5.26,0,43765961.5
2012-02-14,2012-02-15,4.4629,4.4629,4.4629,4.4629,0,37133671.022499844
2012-02-15,2012-02-16,4.3251,4.3251,4.3251,4.3251,0,35987102.67749982
2012-02-16,2012-02-17,4.2739,4.2739,4.2739,4.2739,0,35655737.90659701
2012-02-17,2012-02-18,4.41,4.41,4.41,4.41,0,36819641.25
2012-02-18,2012-02-19,4.222,4.222,4.222,4.222,0,35250005.75
2012-02-19,2012-02-20,4.3867,4.3867,4.3867,4.3867,0,36628615.99750001
2012-02-20,2012-02-21,4.3615,4.3615,4.3615,4.3615,0,36540319.887500025
2012-02-21,2012-02-22,4.272,4.272,4.272,4.272,0,35790495.60000019
2012-02-22,2012-02-23,4.4247,4.4247,4.4247,4.4247,0,37069804.74750004
2012-02-23,2012-02-24,5.015,5.015,5.015,5.015,0,42044145.21643531
2012-02-24,2012-02-25,5.0288,5.0288,5.0288,5.0288,0,42274565.29333319
2012-02-25,2012-02-26,4.773,4.773,4.773,4.773,0,40124184.72500021
2012-02-26,2012-02-27,4.922,4.922,4.922,4.922,0,41376751.98333345
2012-02-27,2012-02-28,4.956,4.956,4.956,4.956,0,41722956.95677076
2012-02-28,2012-02-29,4.868,4.868,4.868,4.868,0,41066346.58333341
2012-02-29,2012-03-01,4.86,4.86,4.86,4.86,0,40998858.75
2012-03-01,2012-03-02,4.9213,4.9213,4.9213,4.9213,0,41515984.272916764
2012-03-02,2012-03-03,4.705,4.705,4.705,4.705,0,39801346.03327547
2012-03-03,2012-03-04,4.6144,4.6144,4.6144,4.6144,0,39060982.52000028
2012-03-04,2012-03-05,4.82,4.82,4.82,4.82,0,40801390.375
2012-03-05,2012-03-06,4.9843,4.9843,4.9843,4.9843,0,42192192.95562503
2012-03-06,2012-03-07,4.9901,4.9901,4.9901,4.9901,0,42305724.94720897
2012-03-07,2012-03-08,4.9375,4.9375,4.9375,4.9375,0,41937273.4375
2012-03-08,2012-03-09,4.9302,4.9302,4.9302,4.9302,0,41875269.975000225
2012-03-09,2012-03-10,4.8611,4.8611,4.8611,4.8611,0,41288360.487499885
2012-03-10,2012-03-11,4.8332,4.8332,4.8332,4.8332,0,41154885.95777747
2012-03-11,2012-03-12,4.91,4.91,4.91,4.91,0,41849280.25
2012-03-12,2012-03-13,4.8901,4.8901,4.8901,4.8901,0,41679667.07749993
2012-03-13,2012-03-14,5.27,5.27,5.27,5.27,0,44917659.25
2012-03-14,2012-03-15,5.38,5.38,5.38,5.38,0,45990341.56249985
2012-03-15,2012-03-16,5.3266,5.3266,5.3266,5.3266,0,45558631.741666764
2012-03-16,2012-03-17,5.3439,5.3439,5.3439,5.3439,0,45706599.36249982
2012-03-17,2012-03-18,5.2159,5.2159,5.2159,5.2159,0,44611810.0291667
2012-03-18,2012-03-19,5.2794,5.2794,5.2794,5.2794,0,45278567.30058594
2012-03-19,2012-03-20,4.6939,4.6939,4.6939,4.6939,0,40284174.3802084
2012-03-20,2012-03-21,4.8379,4.8379,4.8379,4.8379,0,41520016.88020842
2012-03-21,2012-03-22,4.8149,4.8149,4.8149,4.8149,0,41322625.36979158
