Start,End,Open,High,Low,Close,Volume,Market Cap
2017-06-30,2017-07-01,18.662,19.8126,18.5973,18.8739,128157767.0138889,1777655043.921717
2017-06-29,2017-06-30,19.6524,19.6634,18.3258,18.653,137906113.19444445,1778139659.4231372
2017-06-28,2017-06-29,19.1448,19.8424,18.0749,19.6824,237927894.49541286,1772311203.8441083
2017-06-27,2017-06-28,19.6826,20.236,16.564,19.1148,281442580.15267175,1754913591.5149195
2017-06-26,2017-06-27,21.4168,22.4662,17.7028,19.5801,346622508,1911290924.1232562
2017-06-25,2017-06-26,20.1886,23.8646,19.451,21.3817,256981214.2361111,1971571831.3129861
2017-06-24,2017-06-25,21.3414,21.3801,20.122,20.1913,63444535.06944445,1946562346.6083162
2017-06-23,2017-06-24,20.7914,21.5609,20.6088,21.3524,83380038.32752614,1971250485.8755143
2017-06-22,2017-06-23,20.701,21.0465,20.2762,20.7112,138405348.6111111,1916953922.536147
2017-06-21,2017-06-22,21.6808,21.9131,19.8378,20.6515,160480722.2222222,1947699834.8026428
2017-06-20,2017-06-21,22.9453,23.0442,21.4201,21.7059,214159586.80555555,2094169735.7190845
2017-06-19,2017-06-20,22.0654,23.6641,21.9721,22.9337,298486550.5226481,2121462739.307067
2017-06-18,2017-06-19,23.2729,24.6193,21.7262,22.088,582448260.4166666,2072044574.8560207
2017-06-17,2017-06-18,18.398,23.9986,18.3343,23.4608,200375975.26132405,1873230636.668267
2017-06-16,2017-06-17,18.3564,18.5613,17.5895,18.4243,132420358.88501742,1683645052.4940195
2017-06-15,2017-06-16,18.8367,18.9282,16.102,18.3706,155044840.2777778,1643327887.4705288
2017-06-14,2017-06-15,20.7418,21.0555,18.1199,18.8406,127920375,1851187499.8776858
2017-06-13,2017-06-14,20.3266,21.0194,19.7999,20.6438,237667550.5226481,1879837517.720049
2017-06-12,2017-06-13,21.5673,22.9357,18.3014,20.3365,367842557.4912892,1923475399.1631434
2017-06-11,2017-06-12,19.6569,22.1469,18.1616,21.7133,310208114.5833333,1845152339.5897377
2017-06-10,2017-06-11,17.4461,19.4298,17.4325,19.4298,116286131.94444445,1654386390.6810515
2017-06-09,2017-06-10,17.5367,17.6576,17.3257,17.435,47611317.421602786,1612489371.333208
2017-06-08,2017-06-09,17.5106,17.7839,17.1697,17.5491,105738489.58333333,1617159327.073149
2017-06-07,2017-06-08,17.4918,18.3818,17.0074,17.5752,99899048.92857143,1617382931.5199368
2017-06-06,2017-06-07,17.3069,17.8328,16.7783,17.5058,83016179.8611111,1614116695.269061
2017-06-05,2017-06-06,17.4832,17.4832,16.9026,17.2821,73974898.95470384,1578652207.11112
2017-06-04,2017-06-05,16.2616,17.5512,16.0859,17.5178,111364408.33333333,1588420849.9016044
2017-06-03,2017-06-04,17.3839,17.5334,16.1446,16.2808,83479332.9861111,1544948792.4566505
2017-06-02,2017-06-03,16.8343,17.5142,16.8343,17.4031,102139247.03832753,1588850395.1705325
2017-06-01,2017-06-02,17.6788,17.9353,16.6272,16.8642,133032461.80555555,1595512938.3816957
2017-05-31,2017-06-01,18.5422,18.7414,16.6817,17.7247,207491795.1388889,1642396252.5885174
2017-05-30,2017-05-31,17.1015,18.858,16.8827,18.5405,188578121.5277778,1631515372.680025
2017-05-29,2017-05-30,16.1307,17.4168,15.2411,16.9607,112597363.7630662,1501103686.6853604
2017-05-28,2017-05-29,16.264,17.3601,14.1047,16.1158,255594322.91666666,1524838674.8426123
2017-05-27,2017-05-28,14.2575,16.2435,10.5786,16.1479,305288663.1944444,1213713184.8550944
2017-05-26,2017-05-27,16.354,17.9913,13.1698,14.4099,364489912.8919861,1531119093.7162266
2017-05-25,2017-05-26,18.8714,22.3467,15.7603,16.3288,458223286.2190813,1815245245.9009817
2017-05-24,2017-05-25,11.9406,21.2966,11.9026,18.6264,287579149.3055556,1491740672.442111
2017-05-23,2017-05-24,9.90028,11.8379,9.84444,11.8379,110062109.02777778,977826345.8885509
2017-05-22,2017-05-23,9.40067,11.0001,8.93834,9.80802,145538157.4912892,871573511.6949139
2017-05-21,2017-05-22,7.40923,8.8683,7.36999,8.8683,33377144.444444444,692455959.4273528
2017-05-20,2017-05-21,7.99266,8.20741,7.41929,7.41929,61773428.472222224,709447344.5380723
2017-05-19,2017-05-20,6.72943,8.22098,6.61831,7.9691,60221894.07665505,673634276.8769099
2017-05-18,2017-05-19,5.92805,6.76082,5.8862,6.70928,36559236.80555555,595637726.7141612
2017-05-17,2017-05-18,6.25582,6.28062,5.73542,5.94563,29738541.666666668,545058350.5613161
2017-05-16,2017-05-17,6.40949,6.50512,6.02587,6.26217,19875161.805555556,576297236.9220312
2017-05-15,2017-05-16,6.82562,6.82581,6.35621,6.38986,31838881.184668988,599695779.1368307
2017-05-14,2017-05-15,6.14192,7.07679,6.14192,6.80968,12926235.9375,592670936.0548781
2017-05-13,2017-05-14,6.3395,6.36926,6.00893,6.19611,16732127.430555556,565163205.3830667
2017-05-12,2017-05-13,6.48302,6.67192,6.33909,6.33996,17489398.25783972,596028710.6211052
2017-05-11,2017-05-12,6.59603,6.83902,6.30822,6.4847,28819502.430555556,599797161.2936904
2017-05-10,2017-05-11,6.44296,6.80528,6.29064,6.59392,37175644.097222224,590067281.8451456
2017-05-09,2017-05-10,6.66161,6.66436,5.63986,6.40308,51680062.5,581921447.5401695
2017-05-08,2017-05-09,7.12326,7.12326,6.56953,6.66969,41367200.34843206,626754274.0800555
